TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000308,밀리오레호텔 명동,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-26 00:31,3,440000,명동 밀리오레 호텔
e_e000337,서울드래곤시티,1,1,Y,,,2,,서부티엔디,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,4106354,1117012800,2023-05-27 14:10,1,255200,
e_e000459,어반플레이스강남,1,1,Y,,,2,,아고다,,,,,2023-04-12 00:00,1,184484,URBAN PLACE RESIDENCE GANGNAM
e_e000471,네스트호텔,0,1,Y,,,2,,,,인천 중구 운서동 2877-1,,,,1,120000,
e_e000537,네스트호텔,1,1,Y,,,2,,네스트(주),인천 중구 영종해안남로 19-5,인천 중구 운서동 2877,3149029,2811014700,2023-05-16 19:13,1,158400,숙박비
e_e000538,파라다이스시티,0,1,Y,,,4,,,인천 중구 영종해안남로321번길 186,인천 중구 운서동 2874,,,,4,0,
e_e000742,호텔시에나,0,1,Y,,,2,,,경기 파주시 소리천로 31,경기 파주시 야당동 1081-2,,,,1,230000,
e_e000753,아토키즈풀빌라,1,3,Y,,,5,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-05-30 00:00,1,550000,가평 아토키즈풀빌라
e_e000880,파라다이스시티,1,1,Y,,,2,,주식회사파라다이스세가사미,인천 중구 영종해안남로321번길 186,,4247199,2811014700,2023-05-29 14:29,1,70000,숙박비
e_e000920,덕산국민여가캠핑장,2,5,Y,,,2,,,서울 중구 세종대로 39,,2005001,1114011700,2023-06-01 22:06,1,35000,
e_e000921,어반스테이 인천송도,1,11,N,,,1,,주식회사 랜드마크송,인천 연수구 아트센터대로168번길 101,인천 연수구 송도동 29-2,4856813,2818510600,2023-05-24 16:41,1,58000,
e_e000921,호텔체리쉬,0,2,Y,,,1,,,경기 부천시 부천로6번길 29,경기 부천시 심곡동 171-2,,,,1,32000,
e_e000944,로얄타워(에어비앤비 숙소),1,11,Y,,,3,,에어비엔비,,,,,2023-05-20 12:11,1,71628,숙박비
e_e000963,대부도펜션시티,1,3,Y,,,10,,(주)대부도펜션시티,경기 안산시 단원구 공마루길 68-3,경기 안산시 단원구 대부동동 1567-77,4373020,4127311000,2023-05-27 14:03,3,900000,
e_e001003,공감키즈펜션,1,3,Y,,,3,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-30 17:04,1,306100,가평 공감 키즈 가족 스파 계곡 펜션
e_e001003,집,0,9,N,,,3,,,경기도 화성시 동탄기흥로585,,,,,4,0,
e_e001153,더리프 사당,1,1,Y,,,3,,더리프 사당점,서울 관악구 남현1길 66,서울 관악구 남현동 1061-2,4160290,1162010300,2023-05-24 00:00,3,48500,private pool spa
e_e001258,스위스그랜드호텔 서울,0,1,Y,,,4,,,서울 서대문구 연희로 353,,,,,1,313930,
e_e001379,곤지암리조트 L빌리지,1,4,Y,,,9,,(주)디앤오,경기 광주시 도척면 도척윗로 278,,3211012,4161033026,2023-05-29 15:47,1,204000,숙박비
e_e001496,나나키즈풀빌라,0,3,Y,,,8,,,경기 가평군 상면 돌아우길 64-11,경기 가평군 상면 상동리 73-9,,,,1,1150000,
e_e001555,뉴거평힐링24시찜질방,1,11,N,,,2,,뉴거평힐링24시찜질방,서울 강남구 봉은사로 129-1,서울 강남구 논현동 203,3122004,1168010800,2023-05-31 22:22,1,29000,숙박비
e_e001555,올리브호텔,1,2,Y,,,2,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-01 00:00,1,37000,"[서울 모텔]잠실 올리브(잠실,신천(잠실새내))"
e_e001575,쉐라톤그랜드 인천호텔,1,1,Y,,,2,,대우송도호텔(주),인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,2152004,2818510600,2023-05-28 14:33,1,318230,숙박비
e_e001575,쉐라톤그랜드인천호텔 피스트,0,1,Y,,,2,,,인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,,,,4,0,
e_e001925,소노캄고양 웨스트타워,0,1,Y,,,2,,,경기 고양시 일산동구 태극로 18,경기 고양시 일산동구 장항동 1755,,,,1,169000,
e_e002078,마전낚시터,0,11,Y,,,2,,,마전길 129-1,,,,,5,120000,
e_e002083,서울 북한산 카라반,1,5,Y,,,2,,캠핑톡 주식회사,서울 중구 청계천로 40,서울 중구 다동 10,3100021,1114010200,2023-05-30 20:17,1,159000,"난방완비/2030실속형 2인전용/커플,여성"
e_e002190,더스테이힐링파크,0,1,Y,,,2,,,경기 가평군 설악면 한서로268번길 157,경기 가평군 설악면 위곡리 303-3,,,,4,304000,
e_e002337,파주파인밸리펜션,0,3,Y,,,5,,,경기 파주시 파평면 청송로652번길 216,,,,,5,250000,
e_e002353,중동에스티마오피스텔,1,7,Y,,,2,,에어비앤비,,,,,2023-04-28 11:45,1,112063,숙박비
e_e002370,가평용소폭포펜션,1,3,Y,,,2,,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-05-31 00:00,1,110000,[용소]*103호*온돌방
e_e002485,티앤풀빌라펜션,1,3,Y,,,4,,(주)티몬,서울 중구 세종대로 39,서울 중구 남대문로4가 45,2005001,1114011700,2023-03-31 11:29,1,227000,[봄여행페스타]가평 티앤풀빌라펜션
e_e002500,에스에스리조트,1,4,Y,,,1,,에스에스 리조트,경기 가평군 가평읍 북한강변로 494,경기 가평군 가평읍 금대리 294-3,3216019,4182025034,2023-06-17 00:00,1,211182,숙박비 
e_e002515,코트야드바이메리어트 서울남대문,1,1,Y,,,1,,주식회사 상상스테이,서울 중구 남대문로 9,서울 중구 남대문로4가 17-23,3101001,1114011700,2023-06-17 22:59,1,178200,
e_e002783,소노캄 고양,1,1,Y,,,2,,소노캄 고양,경기 고양시 일산동구 태극로 20,경기 고양시 일산동구 장항동 1756,3194057,4128510400,2023-06-09 00:00,1,256000,숙박비
e_e002790,스텔라토풀빌라,0,3,Y,,,2,,,경기 연천군 전곡읍 선사로 203-1,경기 연천군 전곡읍 전곡리 89-21,,,,5,325000,
e_e003119,카사레스펜션,0,3,Y,,,4,,,경기 가평군 북면 꽃넘이길 87-19,경기 가평군 북면 제령리 544-2,,,,5,107000,
e_e003135,남한강썬밸리호텔,1,1,Y,,,1,,주식회사 인터파크 ,서울 강남구 삼성로 512,,3122005,1168010500,2023-06-10 10:09,1,67243,여주 썬밸리 호텔
e_e003177,고멧263펜션,0,3,Y,,,2,,,경기 가평군 가평읍 용추로 227-98,경기 가평군 가평읍 승안리 263-2,,,,1,111900,
e_e003182,서울신라호텔,1,1,Y,,,3,,서울신라호텔,서울 중구 동호로 249,,3005001,1114014400,2023-06-30 00:00,1,962500,숙박비
e_e003306,호텔볼,1,2,Y,,,2,,㈜여기어때컴퍼니 ,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-19 00:14,3,25000,MO-일반(차량)(PC 1대
e_e003315,일월일지,1,3,Y,,,2,,(주)스테이폴리오,서울 종로구 자하문로9길 24,,4100304,1111010800,2023-06-05 11:34,1,369921,STAYFOLIO-일월일지(봄 일지)
e_e003358,유명산숲속힐링캠프,1,5,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-06-11 00:02,1,155000,숙박비
e_e003503,가평플레이38스파펜션,1,3,Y,,,2,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-19 00:43,1,170050,가평 플레이38스파펜션 
e_e003511,호텔에이,1,2,Y,,,1,,남양주 호텔 에이,경기 남양주시 조안면 북한강로 870,경기 남양주시 조안면 삼봉리 258-2,3197075,4136036025,2023-06-20 00:02,1,70000,숙박비 
e_e003513,에벤에셀펜션,0,3,Y,,,6,,,경기 가평군 가평읍 잎너비길 17-177,경기 가평군 가평읍 읍내리 76-3,,,,5,119000,
e_e003551,포천 아름드리 스파펜션,1,3,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-06-04 00:00,3,147000,포천 아름드리 스파 펜션
e_e003592,하늘바라기글램핑,1,5,Y,,,2,,하늘바라기글램핑,강원특별자치도 홍천군 내촌면 아홉사리로 164-22,강원특별자치도 홍천군 내촌면 화상대리 1206,3225056,5172033026,2023-06-12 23:47,1,210000,글램핑테라스B 
e_e003623,호텔드살롱,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-18 19:00,3,140000,평택 호텔 드살롱
e_e003644,마이다스호텔&리조트 로비,1,1,Y,,,3,,호텔엔조이,서울 구로구 디지털로26길 61,서울 구로구 구로동 222-14,4148327,1153010200,2023-06-23 00:00,1,246000,경기가평군/마이다스 호텔&리조트
e_e003651,더드림핑 글램핑,1,5,Y,,,2,,주식회사 시선아이지,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2023-06-17 20:06,3,270000,
e_e003692,시월호텔,1,1,Y,,,2,,㈜야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-15 21:04,1,40000,분당(정자)시월호텔-숙박비
e_e003713,초록멍파티룸,1,11,Y,,,1,,NAVER FINANCIAL ,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-06-25 10:00,1,290000,초록멍파티룸 숙박비
e_e003938,더블트리 바이 힐튼 서울 판교,0,1,Y,,,2,,,경기 성남시 분당구 백현로 26,경기 성남시 분당구 정자동 3-2,,,,1,284240,
e_e004021,덕소주공3단지아파트,0,10,N,,,1,,,경기 남양주시 와부읍 덕소로 33,경기 남양주시 와부읍 덕소리 606-1,,,,4,0,
e_e004023,한탄강관광지 오토캠핑장 캐빈하우스,1,5,Y,,,10,,주식회사 인터파크,서울 강남구 삼성로 512,서울 강남구 삼성동 157-1,3122005,1168010500,2023-06-01 12:32,1,140000,숙박비
e_e004023,한탄강관광지 오토캠핑장 캐빈하우스,2,5,Y,,,10,,한탄강케빈하우스,경기 연천군 전곡읍 선사로 102,경기 연천군 전곡읍 전곡리 698-1,3215024,4180025321,2023-06-01 12:25,1,112000,숙박비
e_e004023,한탄강관광지 오토캠핑장 캐빈하우스,3,5,Y,,,10,,연천 세계캠핑체험존,경기 연천군 전곡읍 선사로 123,경기 연천군 전곡읍 전곡리 705-2,3215024,4180025321,2023-06-01 00:00,1,180000,숙박비
e_e004118,파크마린호텔,0,1,Y,,,2,,,인천 남동구 소래역로 44,인천 남동구 논현동 677-1,,,,1,204000,
e_e004140,곤지암리조트,1,4,Y,,,7,,11번가,서울 중구 한강대로 416,서울 중구 남대문로5가 541,2005005,1114011800,2023-06-26 18:42,1,205170,Konjiam Resort
e_e004215,월호텔,1,2,Y,,,2,,ONDA온다,서울 강남구 테헤란로 431,,3122010,1168010500,2023-06-15 00:00,1,97400,잠실 월()-숙박비
e_e004379,호텔 린,1,2,Y,,,2,,(주)야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-14 15:11,1,67500,서울대입구 린
e_e004387,해피스토리펜션,1,3,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-01 11:55,1,104500,양평 해피스토리펜션
e_e004387,해피스토리펜션,2,3,Y,,,2,,카카오페이,경기 성남시 분당구 판교역로 166,경기 성남시 분당구 백현동 532,3179025,4113511000,2023-07-06 18:05,3,10000,
e_e004481,호텔가덴,0,1,Y,,,2,,,경기 수원시 권선구 경수대로335번길 12,경기 수원시 권선구 권선동 991-7,,,,4,145000,
e_e004500,마리별펜션,0,3,Y,,,2,,,경기 파주시 탄현면 매봉길 125,경기 파주시 탄현면 성동리 11-1,,,,1,141000,
e_e004637,비스타워커힐서울,1,1,Y,,,3,,비스타 워커힐 서울,서울 광진구 워커힐로 177,서울 광진구 광장동 22-1,3104009,1121510400,2023-07-05 15:00,1,0,숙박비
e_e004649,라이브러리스테이 지지향,1,1,Y,,,2,,지지향,경기 파주시 회동길 145,경기 파주시 문발동 524-3,4418895,4148011500,2023-07-12 17:22,1,96000,숙박비
e_e004777,위크팜펜션&글램핑,1,5,Y,,,2,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-10 09:57,3,171000,가평 위크팜글램핑펜션
e_e004926,산정랜드,0,4,N,,,3,,,경기 포천시 영북면 산정호수로411번길 107,경기 포천시 영북면 산정리 75,,,,4,0,
e_e004926,한화리조트 산정호수안시,1,4,Y,,,3,,한화호텔앤드리조트(주),경기 포천시 영북면 산정호수로 402,경기 포천시 영북면 산정리 454-4,3213016,4165039023,2023-07-22 10:19,1,181000,
e_e004932,토브의강가펜션,1,3,Y,,,2,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-07-07 00:05,3,90000,
e_e005259,롯데호텔 서울,0,1,Y,,,2,,,서울 중구 을지로 30,서울 중구 소공동 1,,,,4,0,
e_e005285,No 25 호텔,1,2,Y,,,1,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-17 00:00,1,52000,의정부 넘버25 의정부역서부점
e_e005285,몽 모텔,1,2,Y,,,1,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-20 10:00,1,75000,의정부 몽
e_e005289,"나만의, 온도",1,8,Y,,,2,,에어비앤비,,,,,2023-07-04 17:56,1,149033,숙박비
e_e005342,나인트리프리미어호텔 서울판교,1,1,Y,,,1,,아고다,,,,,2023-07-23 15:00,1,117579,나인트리 프리미어 호텔 서울 판교
e_e005342,더블트리 바이 힐튼 서울 판교,1,1,Y,,,1,,아고다,,,,,2023-07-22 15:00,1,129669,더블트리 바이 힐튼 서울 판교
e_e005451,해밀호텔,1,2,Y,,,2,,해밀호텔,경기 수원시 팔달구 정조로818번길 19,경기 수원시 팔달구 남수동 130-18,4328285,4111512700,2023-07-22 00:07,1,110000,숙박비
e_e005463,킹덤키즈풀빌라,1,3,Y,,,7,,킹덤키즈풀빌라리조트(주),경기 가평군 설악면 미사리로 614-28,,3216014,4182031026,2023-07-22 00:00,1,790000,숙박비 
e_e005549,호텔수목원,1,2,Y,,,2,,포천 광릉수목원,경기 포천시 소흘읍 광릉수목원로 509,,3012038,4165025025,2023-07-29 00:00,3,60000,숙박비
e_e005550,치즈게스트하우스,0,7,Y,,,1,,,서울 서대문구 신촌로3가길 33,서울 서대문구 창천동 501-15,,,,5,23000,
e_e005558,골드리버호텔,1,1,Y,,,3,,(주)야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-24 22:12,1,244800,골드리버 호텔
e_e005634,도마치캠핑장,1,5,Y,,,2,,도마치캠핑장,경기 포천시 이동면 화동로 2318-6,경기 포천시 이동면 도평리 281-4,3213050,4165038022,2023-07-22 18:55,1,135000,숙박비
e_e005646,궁게스트하우스,1,7,Y,,,1,,종로한옥 궁 게스트하우스,서울 종로구 율곡로8길 67,서울 종로구 와룡동 60,4100240,1111013000,,1,54000,해달별 숙박비
e_e005756,오스카호텔,1,2,Y,,,2,,용인오스카호텔,경기 용인시 처인구 금령로90번길 3-10,,4409130,4146110100,2023-07-25 11:07,3,75000,숙박비
e_e005841,서울북한산카라반,1,5,Y,,,2,,캠핑톡 주식회사,서울 중구 청계천로 40,서울 중구 다동 10,3100021,1114010200,2023-07-27 13:57,1,139000,서울북한산카라반
e_e005887,온펜션,0,3,Y,,,5,,,,경기 안산시 단원구 대부남동 144-123,,,,5,440000,
e_e005949,코트야드 바이 메리어트 수원,1,1,Y,,,4,,코트야드 메리어트 수원,경기 수원시 영통구 광교호수공원로 320,,3350755,4111710400,2023-08-01 11:54,1,247940,
e_e005949,코트야드 바이 메리어트 수원,2,1,Y,,,4,,코트야드 바이 메리어트 수원,경기 수원시 영통구 광교호수공원로 320,,3350755,4111710400,2023-08-01 11:53,1,247940,
e_e005979,24블럭호텔,1,2,Y,,,1,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-29 00:00,3,80000,수원시청역 블럭24
e_e006013,곤지암리조트 East빌리지,1,4,Y,,,3,,(주)디앤오,경기 광주시 도척면 도척윗로 278,,3211012,4161033026,2023-08-02 11:09,1,283000,숙박비
e_e006149,H모텔,1,2,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-08-01 00:00,3,51000,미니룸-숙박비
e_e006150,프라움아트,0,11,Y,,,1,,,인천 남동구 예술로204번길 19,인천 남동구 구월동 1131-18,,,,1,103977,
e_e010344,키즈포레,1,11,Y,,,3,,키즈포레풀빌라,경기 포천시 이동면 포화로 346-10,경기 포천시 이동면 도평리 25,3000135,4165038022,2023-08-24 00:00,1,369000,마린방 
e_e010750,나인트리 프리미어 로카우스 호텔 서울 용산,0,1,Y,,,2,,,서울 용산구 한강대로23길 25,서울 용산구 한강로3가 40-1050,,,,4,100000,
e_e011750,넘버25 방이점,1,2,N,,,1,,잠실 호텔 넘버25,서울 송파구 오금로11길 21-13,서울 송파구 방이동 36-15,4169374,1171011100,2023-08-31 15:32,1,0,숙박비 
e_e012072,조치원역,0,10,N,,,2,,,세종특별자치시 조치원읍 으뜸길 215,세종특별자치시 조치원읍 원리 141-54,,,,4,0,
